battery_id,cycle,cell_voltage,pack_voltage,pack_current,cell_temperature,soc,dod,c_rate,soh_pct,rul_cycles,cycle_index,cycle_number,battery_age_cycles,temperature_mean,temperature_std,temperature_min,temperature_max,ambient_temperature_c_x,ambient_temperature_c_y,voltage_mean,voltage_std,voltage_min,voltage_max,current_mean,current_std,current_min,current_max,soh,capacity_ah,soh_capacity_ratio,duration_s,sample_count,cutoff_voltage_v,capacity_lag_1,capacity_delta_1,capacity_roll_mean_3,capacity_roll_std_3,capacity_roll_mean_5,capacity_roll_std_5,voltage_mean_roll_3,temperature_mean_roll_3,duration_roll_mean_3,charge_duration_s_ctx,charge_voltage_max_ctx,charge_current_mean_ctx,impedance_cycle_index_ctx,impedance_mean_ctx,re_value_ctx,rct_value_ctx,operation_type,cohort,load_profile,recent_capacity_slope_5,recent_capacity_slope_10,temperature_stress_cum,dod_stress_cum,c_rate_stress_cum,physics_proxy_rul,life_fraction,health_score
1,1,3.189,350.74,126.0,28.6,0.0069299999999999995,0.00366,1.26,99.99,3798,1.0,1.0,1.0,28.6,0.0,28.6,28.6,28.6,28.6,3.189,0.0,3.189,3.189,2.52,0.0,2.52,2.52,0.9998999999999999,1.9997999999999998,0.9998999999999999,300.0,1.0,2.7,1.9997999999999998,0.0,1.9997999999999998,0.0,1.9997999999999998,0.0,3.189,28.6,300.0,300.0,3.189,2.52,,,,,battery_simulated,temp_low__crate_high,dod_low__crate_high,0.0,0.0,3.6000000000000014,0.00366,1.26,3997.999999999997,0.001,0.9998999999999999
1,2,3.223,354.51,35.64,39.4,0.0069099999999999995,0.00446,0.36,99.99,3918,2.0,2.0,2.0,39.4,0.0,39.4,39.4,39.4,39.4,3.223,0.0,3.223,3.223,0.72,0.0,0.72,0.72,0.9998999999999999,1.9997999999999998,0.9998999999999999,500.0,1.0,2.7,1.9997999999999998,0.0,1.9997999999999998,0.0,1.9997999999999998,0.0,3.206,34.0,400.0,500.0,3.223,0.72,,,,,battery_simulated,temp_mid__crate_low,dod_low__crate_low,0.0,0.0,18.0,0.00812,1.62,3997.999999999997,0.002,0.9998999999999999
1,3,3.19,350.91,96.2,32.0,0.0067599999999999995,0.004920000000000001,0.96,99.98,3770,3.0,3.0,3.0,32.0,0.0,32.0,32.0,32.0,32.0,3.19,0.0,3.19,3.19,1.92,0.0,1.92,1.92,0.9998,1.9996,0.9998,300.0,1.0,2.7,1.9997999999999998,-0.00019999999999975593,1.9997333333333334,0.00011547005383775219,1.9997333333333334,0.00011547005383775219,3.2006666666666668,33.333333333333336,366.6666666666667,300.0,3.19,1.92,,,,,battery_simulated,temp_mid__crate_mid,dod_low__crate_mid,-9.999999999987796e-05,0.0,25.0,0.013040000000000001,2.58,3995.9999999999995,0.003,0.9998
1,4,3.218,353.93,102.18,46.5,0.00752,0.00392,1.02,99.97,3446,4.0,4.0,4.0,46.5,0.0,46.5,46.5,46.5,46.5,3.218,0.0,3.218,3.218,2.04,0.0,2.04,2.04,0.9997,1.9994,0.9997,300.0,1.0,2.7,1.9996,-0.00019999999999997797,1.9996,0.00019999999999974666,1.99965,0.0001914854215511016,3.2103333333333333,39.300000000000004,366.6666666666667,300.0,3.218,2.04,,,,,battery_simulated,temp_high__crate_mid,dod_low__crate_mid,-0.00013333333333324462,-0.00013333333333324462,46.5,0.016960000000000003,3.6,2995.5000000019927,0.004,0.9997
1,5,3.228,355.05,35.7,29.4,0.00705,0.00446,0.36,99.97,3669,5.0,5.0,5.0,29.4,0.0,29.4,29.4,29.4,29.4,3.228,0.0,3.228,3.228,0.72,0.0,0.72,0.72,0.9997,1.9994,0.9997,500.0,1.0,2.7,1.9994,0.0,1.9994666666666667,0.00011547005383743168,1.9995999999999998,0.00019999999999986,3.2119999999999997,35.96666666666667,366.6666666666667,500.0,3.228,0.72,,,,,battery_simulated,temp_low__crate_low,dod_low__crate_low,-9.999999999993348e-05,-9.999999999993348e-05,50.9,0.02142,3.96,3993.9999999999995,0.005,0.9997
1,6,3.245,356.94,23.85,32.3,0.007209999999999999,0.0027600000000000003,0.24,99.97,3968,6.0,6.0,6.0,32.3,0.0,32.3,32.3,32.3,32.3,3.245,0.0,3.245,3.245,0.48,0.0,0.48,0.48,0.9997,1.9994,0.9997,750.0,1.0,2.7,1.9994,0.0,1.9994,0.0,1.99952,0.0001788854381999402,3.2303333333333337,36.06666666666666,516.6666666666666,750.0,3.245,0.48,,,,,battery_simulated,temp_mid__crate_low,dod_low__crate_low,-7.999999999994679e-05,-7.999999999994679e-05,58.199999999999996,0.02418,4.2,3993.9999999999995,0.006,0.9997
1,7,3.26,358.57,21.41,33.9,0.0076500000000000005,0.00222,0.21,99.97,4273,7.0,7.0,7.0,33.9,0.0,33.9,33.9,33.9,33.9,3.26,0.0,3.26,3.26,0.42,0.0,0.42,0.42,0.9997,1.9994,0.9997,857.1428571428572,1.0,2.7,1.9994,0.0,1.9994,0.0,1.9994399999999999,8.944271910036342e-05,3.2443333333333335,31.866666666666664,702.3809523809524,857.1428571428572,3.26,0.42,,,,,battery_simulated,temp_mid__crate_low,dod_low__crate_low,-7.999999999994679e-05,-6.666666666662231e-05,67.1,0.0264,4.41,3993.9999999999995,0.007,0.9997
1,8,3.223,354.52,38.6,35.9,0.006959999999999999,0.00461,0.39,99.97,4369,8.0,8.0,8.0,35.9,0.0,35.9,35.9,35.9,35.9,3.223,0.0,3.223,3.223,0.78,0.0,0.78,0.78,0.9997,1.9994,0.9997,461.53846153846155,1.0,2.7,1.9994,0.0,1.9994,0.0,1.9994,0.0,3.2426666666666666,34.03333333333333,689.5604395604396,461.53846153846155,3.223,0.78,,,,,battery_simulated,temp_mid__crate_low,dod_low__crate_low,-3.999999999999559e-05,-5.714285714281913e-05,78.0,0.03101,4.8,3993.9999999999995,0.008,0.9997
1,9,3.202,352.25,36.24,44.1,0.00636,0.00458,0.36,99.96,4326,9.0,9.0,9.0,44.1,0.0,44.1,44.1,44.1,44.1,3.202,0.0,3.202,3.202,0.72,0.0,0.72,0.72,0.9995999999999999,1.9991999999999999,0.9995999999999999,500.0,1.0,2.7,1.9994,-0.00020000000000020002,1.9993333333333334,0.00011547005383704709,1.99936,8.944271910085993e-05,3.228333333333333,37.96666666666667,606.2271062271062,500.0,3.202,0.72,,,,,battery_simulated,temp_high__crate_low,dod_low__crate_low,-4.0000000000040004e-05,-7.499999999999174e-05,97.1,0.03559,5.16,3991.9999999999977,0.009,0.9995999999999999
1,10,3.249,357.42,27.83,23.9,0.00747,0.0034899999999999996,0.28,99.96,4491,10.0,10.0,10.0,23.9,0.0,23.9,23.9,23.9,23.9,3.249,0.0,3.249,3.249,0.56,0.0,0.56,0.56,0.9995999999999999,1.9991999999999999,0.9995999999999999,642.8571428571428,1.0,2.7,1.9991999999999999,0.0,1.9992666666666665,0.00011547005383674262,1.9993200000000002,0.00010954451150199157,3.2246666666666663,34.63333333333333,534.7985347985348,642.8571428571428,3.249,0.56,,,,,battery_simulated,temp_low__crate_low,dod_low__crate_low,-4.0000000000040004e-05,-6.666666666665932e-05,97.1,0.03908,5.44,3991.9999999999977,0.01,0.9995999999999999
